SampledDate,% Volatile Suspended Solids,Ammonia as N,Analysis Date/Time,Arsenic,Biochemical Oxygen Demand,Cadmium,Chemical Oxygen Demand,Chromium,Cobalt,Copper,Lead,Mercury,Method Reference,Molybdenum,Nickel,Oil and Grease (HEM),Phosphorus-total,SARS-COV2,Sample Amount,Selenium,Settleable Solids,Subcontract Lab ID,Sulfur,TSS - Change in Wt,Total Nitrogen,Total Suspended Solids,Volatile Acids,Volatile Suspended Solids,Zinc,pH
2025-02-02,100,17.4,,,590,,1560,,,,,,,,,,9.35,,1000,,8.5,,32.3,2.04,37.8,294,148,293,,6.60
2025-02-03,97,16.6,,,527,,1020,,,,,,,,,,,,1000,,8,,32.5,0.48,,310,156,300,,7.45
2025-02-04,98,17.2,,,658,,1364,,,,,,,,,,,,1000,,7,,35.3,0.54,,279,138,273,,6.52
2025-02-05,97,17.2,,,773,,1473,,,,,,,,,,,,1000,,5.5,,41.7,0.67,,373,304,360,,6.71
2025-02-06,97,43.5,,,808,,1522,,,,,,,,,,,,1000,,12,,41.1,2.08,,432,324,421,,6.15
2025-02-07,92,47.5,,,1320,,1628,,,,,,,,,,,,1000,,11,,46.3,0.15,,344,272,315,,6.13
2025-02-08,98,23.5,,,785,,1588,,,,,,,,,,,,1000,,13,,38.1,0.58,,430,163,420,,6.50
2025-02-09,95,28.4,,,764,,1862,,,,,,,,,,,,1000,,12,,41.1,0.68,,444,301,424,,6.87
2025-02-10,92,22.6,,,803,,1660,,,,,,,,,,,,1000,,12,,49.8,1.30,,462,324,425,,6.73
2025-02-11,82,45.4,,,663,,1260,,,,,,,,,,,,1000,,15,,38.5,0.81,,551,277,450,,6.25
2025-02-12,83,19.1,,,466,,912,,,,,,,,,,,,1000,,7.5,,25.4,0.78,,323,167,267,,6.21
2025-02-13,95,30.4,,,442,,244,,,,,,,,,,,,1000,,13,,28.6,0.43,,466,136,441,,6.27
2025-02-14,95,17.2,,,631,,1308,,,,,,,,,,,,1000,,10,,35.3,0.15,,341,168,323,,6.46
2025-02-15,83,10.9,,,498,,934,,,,,,,,,,,,1000,,8.5,,26.9,4.64,,319,120,266,,6.18
2025-02-16,62,6.85,,,220,,449,,,,,,,,,,,,1000,,2,,18.2,2.22,,181,22,113,,6.39
2025-02-17,89,11.9,,,572,,770,,,,,,,,,,,,1000,,7,,28.5,3.63,,290,113,259,,6.12
2025-02-18,92,12.3,,,598,,880,,,,,,,,,,,,1000,,9.5,,26.9,1.08,,309,132,284,,6.10
2025-02-19,91,12,,,412,,500,,,,,,,,,,,,1000,,8.5,,24.6,0.57,,262,99,238,,6.33
2025-02-20,87,11.7,,,398,,470,,,,,,,,,,,,1000,,9,,22.9,1.43,,262,87,229,,6.34
2025-02-21,97,12.5,,,509,,770,,,,,,,,,,,,1000,,8,,35.5,2.14,,234,266,228,,6.46
2025-02-22,94,13.1,,,619,,1193,,,,,,,,,,,,1000,,8,,34.3,0.56,,269,171,253,,7.29
2025-02-23,93,13.9,,,542,,1368,,,,,,,,,,,,1000,,8,,27.1,2.64,,285,142,265,,6.04
2025-02-24,91,16,,,601,,1192,,,,,,,,,,,,1000,,10,,31.2,1.76,,339,269,307,,6.88
2025-02-25,92,13.8,,,878,,1472,,,,,,,,,,,,1000,,11,,39.2,0.82,,427,365,395,,6.86
2025-02-26,95,15.7,,,864,,1220,,,,,,,,,,,,1000,,11,,30.3,2.11,,428,307,405,,6.70
2025-02-27,89,18.5,,,961,,1130,,,,,,,,,,,,1000,,13,,43.7,0.50,,499,325,444,,6.50
2025-02-28,88,25.7,,,702,,1092,,,,,,,,,,,,1000,,10,,27.8,0.64,,393,167,346,,6.30
2025-03-01,92,49.2,,,621,,1358,,,,,,,,,,,,1000,,10,,32.3,2.05,,318,173,293,,6.34
2025-03-02,91,22.5,,,435,,1644,,,,,,,,,,10.4,,1000,,12,,29.9,2.30,60,458,378,417,,6.98
2025-03-03,92,32.7,,,981,,1808,,,,,,,,,,,,1000,,16,,38.8,1.25,,479,395,441,,6.53
2025-03-04,92,22.1,,,954,,1864,,,,,,,,,,,,1000,,14,,34.4,2.68,,543,348,498,,6.71
2025-03-05,83,20.6,,,656,,1226,,,,,,,,,,,,1000,,12,,36.3,2.89,,468,161,386,,6.16
2025-03-06,86,48.2,,,1098,,2210,,,,,,,,,,,,1000,,29,,32.4,2.52,,755,419,652,,6.06
2025-03-07,93,15.8,,,682,,1496,,,,,,,,,,,,1000,,9,,37.6,3.93,,322,274,300,,6.78
2025-03-08,94,17.1,,,698,,1712,,,,,,,,,,,,1000,,10,,40.3,0.88,,377,301,355,,6.88
2025-03-09,97,16.2,,,742,,1308,,,,,,,,,,,,1000,,9.5,,29.9,2.02,,397,322,384,,6.75
2025-03-10,98,,,,847,,572,,,,,,,,,,,,1000,,10,,34.7,2.60,,443,354,434,,6.87
2025-03-11,93,34.3,,,885,,1660,,,,,,,,,,,,1000,,16,,42.7,2.98,,354,339,329,,6.09
2025-03-12,98,23,3/19/2025 14:23,<0.0100,1012,<0.0020,2020,<0.0050,<0.0100,0.0525,<0.0060,<0.00020,EPA-245.1,0.0108,0.0175,,,,1000,<0.0100,15,Waypoint Analytical LLC.,40.4,1.02,,542,345,532,0.202,6.74
2025-03-13,97,27.8,,,975,,1590,,,,,,,,,,,,1000,,15,,29.3,0.27,,555,412,539,,6.71
2025-03-14,94,25.1,,,970,,1658,,,,,,,,,,,,1000,,13,,27.6,1.49,,504,372,474,,7.25
2025-03-15,90,12.1,,,767,,1446,,,,,,,,,,,,1000,,18,,19.4,3.27,,475,63,426,,6.61
2025-03-16,94,11.7,,,397,,890,,,,,,,,,,,,1000,,6.5,,20.2,1.45,,344,70,324,,6.17
2025-03-17,87,17.4,,,748,,1792,,,,,,,,,,,,1000,,11,,48.7,1.01,,346,304,300,,6.62
2025-03-18,89,45.8,,,860,,1716,,,,,,,,,,,,1000,,18,,36.2,2.52,,571,313,511,,6.09
2025-03-19,96,24.8,,,713,,1190,,,,,,,,,,,,1000,,12,,42.6,2.62,,361,271,346,,6.55
2025-03-20,93,22.1,,,678,,1280,,,,,,,,,,,,1000,,13,,10.2,1.52,,395,153,368,,6.63
2025-03-21,94,17.7,,,674,,1688,,,,,,,,,,,,1000,,20,,32.4,0.15,,336,173,318,,6.84
2025-03-22,94,16.9,,,630,,2084,,,,,,,,,,,,1000,,22,,33.5,0.58,,518,449,490,,6.53
2025-03-23,97,20.1,,,850,,1876,,,,,,,,,,,,1000,,13,,36.3,2.34,,428,413,415,,7.09
2025-03-24,93,18.1,,,784,,2170,,,,,,,,,,,26308,1000,,14,,48,2.03,,440,345,410,,6.73
2025-03-25,93,16.8,,,881,,1192,,,,,,,,,,,,1000,,15,,34.9,0.54,,459,310,427,,7.43
2025-03-26,94,18.8,,,849,,1332,,,,,,,,,,,,1000,,18,,38.2,0.29,,527,295,498,,6.78
2025-03-27,88,33.6,,,854,,1455,,,,,,,,,,,,1000,,22,,44.8,0.33,,612,384,539,,6.55
2025-03-28,89,19.8,,,946,,1270,,,,,,,,,,,,1000,,13,,40.4,1.97,,583,416,520,,6.73
2025-03-29,94,17.9,,,710,,1484,,,,,,,,,,,,1000,,8,,42.5,3.41,,366,292,345,,6.61
2025-03-30,92,21.6,,,671,,1424,,,,,,,,,,,,1000,,12,,42.7,0.80,,377,175,349,,6.07
2025-03-31,92,17.3,,,647,,1168,,,,,,,,,,,,1000,,12,,35.3,2.99,,383,165,351,,6.01
2025-04-01,89,,,,788,,1556,,,,,,,,,,11.3,,1000,,16,,26.9,1.54,51.5,523,167,467,,6.93
2025-04-02,92,21.2,,,829,,1616,,,,,,,,,,,,1000,,16,,43,0.18,,545,372,503,,6.62
2025-04-03,57.10382514,15.5,,,302,,508,,,,,,,,,,,,1000,,6,,31.1,1.77,,366,66,209,,6.59
2025-04-04,61.96581197,9.65,,,277,,450,,,,,,,,,,,,1000,,3,,17.9,1.49,,234,49,145,,6.35
2025-04-05,70,13.5,,,384,,923,,,,,,,,,,,,1000,,7,,17,1.41,,390,55,274,,6.40
2025-04-06,88,8.9,,,200,,307,,,,,,,,,,,,1000,,2,,12,0.00,,213,15,189,,6.58
2025-04-07,85,9.9,,,320,,690,,,,,,,,,,,,1000,,4.5,,26.6,1.42,,212,78,179,,6.28
2025-04-08,96,11.8,,,447,,844,,,,,,,,,,,,1000,,5.5,,31.9,0.00,,264,108,253,,6.04
2025-04-09,92,16.4,4/14/2025 15:31,<0.0100,347,<0.0020,734,<0.0050,<0.0100,0.0311,<0.0060,<0.00020,EPA-245.1,0.0054,0.0166,,,,1000,<0.0100,5,Waypoint Analytical LLC.,25.9,0.33,,154,92,142,0.104,6.36
2025-04-10,92,15.9,,,656,,1250,,,,,,,,,,,,1000,,4,,37.3,0.18,,279,157,257,,6.62
2025-04-11,92,18.5,,,594,,1172,,,,,,,,,,,,1000,,7,,34.6,0.00,,306,173,281,,6.06
2025-04-12,97,22.5,,,621,,1708,,,,,,,,,,,,1000,,6,,35.3,2.14,,351,175,340,,6.44
2025-04-13,92,37.1,,,654,,820,,,,,,,,,,,,1000,,13,,35.1,2.77,,422,137,388,,6.37
2025-04-14,90,40.8,,,838,,1480,,,,,,,,,,,,1000,,22,,41.1,3.54,,565,345,506,,6.22
2025-04-15,82,38.5,,,726,,1520,,,,,,,,,,,,1000,,38,,37.1,1.85,,696,143,573,,6.46
2025-04-16,92,31.4,,,574,,1140,,,,,,,,,,,,1000,,16,,31.8,0.54,,530,147,489,,6.32
2025-04-17,95,23.2,,,714,,2050,,,,,,,,,,,,1000,,7,,42.3,0.23,,441,163,421,,6.01
2025-04-18,86,30.2,,,642,,1480,,,,,,,,,,,,1000,,21,,32.3,1.00,,499,175,428,,6.26
2025-04-19,95,21.5,,,711,,1328,,,,,,,,,,,,1000,,15,,30,3.02,,496,167,469,,6.68
2025-04-20,88,39,,,706,,1936,,,,,,,,,,,,1000,,25,,30.4,0.66,,613,173,538,,6.34
2025-04-21,86,32.6,,,664,,1832,,,,,,,,,,,,1000,,32,,38,2.31,,694,274,596,,6.31
2025-04-22,85,22.2,,,631,,1468,,,,,,,,,,,,1000,,12,,32.3,0.69,,436,280,372,,6.15
2025-04-23,99,29.1,,,649,,1367,,,,,,,,,,,,1000,,10,,40,0.27,,373,313,368,,6.04
2025-04-24,90,28.7,,,714,,1479,,,,,,,,,,,,1000,,10,,28.7,0.49,,508,271,456,,6.16
2025-04-25,86,23.8,,,742,,759,,,,,,,,,,,,1000,,16,,36,1.78,,505,286,437,,8.50
2025-04-26,86,34,,,724,,,,,,,,,,,,,,1000,,25,,31.2,1.22,,617,171,532,,6.21
2025-04-27,86,19.8,,,649,,1090,,,,,,,,,,,,1000,,10,,35.4,0.27,,497,280,429,,6.82
2025-04-28,82,26.7,,,342,,572,,,,,,,,,,,,1000,,7,,36.1,1.97,,305,78,250,,6.50
2025-04-29,79,34.5,,,472,,958,,,,,,,,,,,,1000,,18,,25.6,0.77,,607,141,478,,6.50
2025-04-30,77,33,,,500,,1124,,,,,,,,,,,,1000,,15,,46.1,1.20,,460,155,355,,6.67
2025-05-01,83,26.6,,,423,,1060,,,,,,,,,,8.3,,1000,,11,,26.1,1.00,45.7,400,122,332,,6.44
2025-05-02,88,24.5,,,525,,1204,,,,,,,,,,,,1000,,12,,53.7,1.57,,508,271,447,,6.17
2025-05-03,77,17.3,,,384,,662,,,,,,,,,,,,1000,,7,,29.2,1.56,,352,108,272,,6.05
2025-05-04,87,22.1,,,558,,1148,,,,,,,,,,,,1000,,15,,35.1,1.78,,420,268,363,,6.07
2025-05-05,92,25.4,,,663,,1444,,,,,,,,,,,,1000,,13,,31.9,1.82,,412,277,381,,6.61
2025-05-06,93,,,,637,,1600,,,,,,,,,,,,1000,,10,,,2.00,,351,,327,,6.88
2025-05-07,92,19.2,,,663,,1498,,,,,,,,,,,,1000,,10,,48.4,1.03,,388,163,357,,6.50
2025-05-08,91,20.1,,,769,,1408,,,,,,,,,,,,1000,,12,,40.8,1.10,,455,173,413,,6.90
2025-05-09,91,24.1,,,612,,1734,,,,,,,,,,,,1000,,12,,30.9,0.14,,347,145,317,,6.12
2025-05-10,90,50.5,,,656,,1563,,,,,,,,,,,,1000,,15,,36.9,1.04,,434,27,390,,6.63
2025-05-11,88,24.1,,,718,,1404,,,,,,,,,,,,1000,,16,,39.8,1.59,,551,328,486,,6.73
2025-05-12,80,17.6,,,472,,854,,,,,,,,,,,,1000,,8.5,,35.6,0.42,,380,137,304,,6.10
2025-05-13,81,16.8,,,607,,828,,,,,,,,,,,,1000,,8,,38.2,0.43,,353,169,287,,6.05
2025-05-14,91,23.2,5/15/2025 14:51,<0.0100,518,<0.0020,975,0.0084,<0.0100,0.0714,<0.0060,<0.00020,EPA-245.1,0.0136,0.0141,,,,1000,<0.0100,10,Waypoint Analytical LLC.,40.5,1.44,,418,145,379,0.364,6.35
2025-05-15,86,20.5,,,679,,1636,,,,,,,,,,,,1000,,14,,34.7,1.86,,484,316,416,,6.15
2025-05-16,99,17.9,,,573,,1025,,,,,,,,,,,,1000,,10,,38.8,0.59,,342,137,340,,6.03
2025-05-17,96,18.1,,,670,,1884,,,,,,,,,,,,1000,,10,,38.9,3.73,,402,268,388,,6.75
2025-05-18,92,18,,,586,,1314,,,,,,,,,,,,1000,,11,,26.7,0.12,,335,161,308,,6.82
2025-05-19,68,19.3,,,380,,1493,,,,,,,,,,,,1000,,7,,36.2,0.00,,299,65,205,,6.36
2025-05-20,80,12.2,,,408,,880,,,,,,,,,,,,1000,,6.5,,26,3.37,,283,82,227,,6.51
2025-05-21,92,15.8,,,381,,882,,,,,,,,,,,,1000,,9,,27.4,3.10,,275,98,253,,6.27
2025-05-22,97,,,,502,,1275,,,,,,,,,,,,1000,,9,,,2.07,,307,,297,,6.15
2025-05-23,99,,,,537,,,,,,,,,,,,,,1000,,9,,,0.83,,301,,297,,6.18
2025-05-24,71,,,,257,,1343,,,,,,,,,,,,1000,,5,,,0.94,,160,,113,,6.60
2025-05-25,76,,,,200,,1343,,,,,,,,,,,,1000,,2,,,2.22,,113,,86,,6.90
2025-05-26,69,,,,,,1037,,,,,,,,,,,,1000,,4,,,3.86,,117,,81,,
2025-05-27,96,,,,,,171,,,,,,,,,,,,1000,,4,,,3.19,,95,,91,,
2025-05-28,94,,,,,,765,,,,,,,,,,,,1000,,7,,,1.23,,285,,268,,
2025-05-29,95,,,,,,,,,,,,,,,,,,1000,,10,,,1.50,,263,,250,,
2025-05-30,,,,,,,,,,,,,,,,,,,1000,,10,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,,,,1000,,15,,,,,,,,,
2025-06-01,,,,,,,,,,,,,,,,,,,1000,,15,,,,,,,,,
